# fault data 
# undefined faults (or fractures) = U,u,F,f,0,5
# normal = N,n,2,-
# inverse = I,i,1,+
# dextral = D,d,3
# sinistral = S,s,4
#
145	40	150	39	2
338	35	354	34	2
60	56	68	55	2
158	54	158	54	2
118	48	120	48	2
34	55	70	49	2
344	17	318	15	2
166	40	170	39	2
10	85	10	85	2
18	37	18	37	2
234	43	234	43	2
296	25	316	24	2
100	54	66	49	2
190	40	190	40	2
92	60	75	59	2
182	52	195	51	2
156	68	114	62	2
224	54	230	53	2
88	38	105	37	2
38	32	38	32	2
318	24	325	23	2
254	54	214	47	2
165	47	189	44	2
164	50	164	50	2
115	75	115	75	2
195	57	185	56	2
12	36	12	36	2
104	55	104	55	2
